North Korea,-39.025100000000016
Libya,-32.661699999999996
Germany,-30.7858
United Kingdom,-28.783800000000017
Dominica,-26.547600000000003
France,-25.104600000000005
Spain,-23.805300000000003
Sri Lanka,-23.184700000000007
Yemen,-21.0766
Dominican Republic,-21.003099999999996
Iraq,-20.62860000000001
Chad,-17.5465
Gaza Strip,-14.5105
Iran,-13.855099999999991
Sweden,-12.826400000000001
Cuba,-12.095100000000004
Netherlands,-11.8151
Belgium,-10.9743
Ireland,-10.860500000000007
Mali,-10.386900000000002
