,labels,size,colors
0,Huma Abedin,0.2726910828025478,#7f0000
1,Cheryl Mills,0.24761146496815287,#a50000
2,Jake Sullivan,0.16719745222929935,#f16949
3,Sidney Blumenthal,0.07205414012738853,#fdd19b
4,Lauren Jiloty,0.06628184713375797,#fed5a0
5,others,0.17416401273885354,#afafaf
